SID,NUMBER,ISO_TIME,NATURE,LAT,LON,YEAR
2007346S12073,90,12/11/2007 18:00,Disturbance,-11.6,72.6,2007
2007352S12088,91,12/17/2007 12:00,Tropical,-11.7,87.9,2007
2007360S10116,92,1/1/2008 0:00,Tropical,-19.8,110.8,2007
2007363S20043,93,1/1/2008 0:00,Tropical,-19,41,2007
2007365S15134,94,1/1/2008 0:00,Mixture(contradicting report from different agencies),-16,134.3,2007
2008008S18184,1,1/10/2008 0:00,Tropical,-21.4,-175.7,2008
2008012N12123,2,1/12/2008 12:00,Disturbance,12.4,121.3,2008
2008015S16162,3,1/15/2008 12:00,Disturbance,-15.5,162.5,2008
2008023S10050,4,1/22/2008 18:00,Tropical,-9.7,49.8,2008
2008026S11064,5,1/25/2008 18:00,Tropical,-10.7,63.5,2008
2008026S12179,6,1/26/2008 0:00,Disturbance,-11.9,179.4,2008
2008033S11083,7,2/10/2008 0:00,Tropical,-19.3,86.4,2008
2008034S12103,8,2/10/2008 0:00,Tropical,-15.7,109.2,2008
2008037S10055,9,2/10/2008 0:00,Tropical,-15,64.2,2008
2008042S16122,10,2/10/2008 18:00,Disturbance,-16,122.2,2008
2008058S15131,11,2/26/2008 12:00,Disturbance,-14.8,131.4,2008
2008060S19151,12,2/28/2008 18:00,Tropical,-18.9,151.1,2008
2008062S10064,13,3/10/2008 0:00,Tropical,-19.6,39.3,2008
2008065S12096,14,3/10/2008 0:00,Tropical,-15.9,79.8,2008
2008079S12069,15,3/18/2008 12:00,Tropical,-11.7,68.5,2008
2008080S17163,16,3/20/2008 0:00,Tropical,-17.4,163.4,2008
2008083S12102,17,3/23/2008 12:00,Tropical,-12.1,102.2,2008
2008104N08128,18,4/13/2008 0:00,Mixture(contradicting report from different agencies),8.4,127.5,2008
2008108S13158,19,4/17/2008 0:00,Disturbance,-12.7,157.5,2008
2008111S06082,20,4/20/2008 0:00,Tropical,-5.7,82.2,2008
